run_id,run_name,metric.rmse_total,metric.corr_total,metric.n_players,Michael_Jordan,Oscar_Robertson,George_Mikan,LeBron_James,Kevin_Garnett,David_Robinson,Kareem_Abdul-Jabbar,Kevin_Duckworth,Ron_Mercer,Hakim_Warrick,Pete_Maravich,James_Wiseman,gpm_1,gpm_2,gpm_3,gpm_4,gpm_5,gpm_6,gpm_7,gpm_8,gpm_9,gpm_10,Nikola_Jokic,run_timestamp,param.min_threshold,param.off_def_split,param.feature_type,param.min_games,param.glm_lambda_,param.glm_alpha,param.glm_max_active_predictors,param.glm_offset_column,param.glm_weights_column,param.glm_beta_constraints,param.min_total_games,param.pace_adjustment,param.season_start,param.season_end,param.rapm_signal_threshold,param.glm_family,metric.rmse_offense,metric.corr_offense,metric.rmse_defense,metric.corr_defense,metric.n_players_matched,metric.intercept,metric.home_coefficient,param.ptdiff_exponent,param.ptdiff_type,metric.corr_combined_career_mpg
a12852d919d24b77ae30f07c730e1f1d,2000feats,3.0462,0.4686,4105,1.6156,7.2851,3.9683,1.6533,4.1801,3.8417,3.8192,1.4333,-3.0094,-0.8629,-2.6185,-4.5093,Larry Spriggs,Terence Davis,Wilt Chamberlain,Oscar Robertson,Bill Russell,Larry Costello,Kevin Johnson,Gene Conley,Larry Bird,Magic Johnson,,5/5/2026 11:58,24.0,True,minutes,0,,,2000,,,,,False,1946-47,2025-26,0.53,gaussian,2.4808,0.3402,1.5733,0.4149,2415,100.813,3.4695,,,
260730a240344fbfa06adfe2620a5d52,remove_preseason_pre52,3.0775,0.4608,3752,1.646,7.3146,3.8798,1.3938,4.1604,3.7188,3.7825,1.3939,-2.8526,-0.5134,-2.7344,-4.7023,Larry Spriggs,Terence Davis,Wilt Chamberlain,Oscar Robertson,Bill Russell,Larry Costello,Sarunas Jasikevicius,Kevin Johnson,Gene Conley,Magic Johnson,,5/5/2026 12:26,24.0,True,minutes,0,,,2000,,,,,False,1946-47,2025-26,0.53,gaussian,2.4923,0.3425,1.6143,0.418,2320,101.6769,3.4518,,,
0e59129f8d9c4e0ba3009101bb06a55a,min_200_gp_no_max_feats,2.8503,0.4976,2116,1.712,7.6466,2.7475,1.6503,3.9484,3.8021,4.3035,1.4152,-2.7912,-0.6734,-2.899,,Larry Spriggs,Terence Davis,Bill Russell,Oscar Robertson,Wilt Chamberlain,Kevin Johnson,Larry Costello,Larry Bird,Gene Conley,Magic Johnson,,5/5/2026 14:09,24.0,True,minutes,200,,,2000,,,,,False,1946-47,2025-26,0.53,gaussian,2.3808,0.4059,1.8334,0.4264,1313,101.8956,3.465,,,
784f48a2c95f45dc9fd41c56fd5279f0,min_300_gp_no_max_feats,2.9884,0.6467,1733,6.2611,9.6864,5.7961,4.7769,4.0375,3.7837,2.272,-1.5195,-1.4998,-0.871,,,Bill Russell,Wilt Chamberlain,Oscar Robertson,Charlie Tyra,Bobby Wanzer,Jim McIlvaine,Larry Bird,Nikola Jokić,Magic Johnson,Paul Reed,,5/5/2026 15:20,24.0,True,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,2.3911,0.4867,2.0133,0.5487,1085,103.4273,3.4253,,,
60b6a45308854459895e4d3771972500,15minthresh,2.654,0.6772,1733,4.8069,12.9415,,4.6173,4.1404,4.7172,4.0245,1.6979,-1.2104,-3.8283,-1.2935,,Wilt Chamberlain,Bill Russell,Oscar Robertson,Harry Gallatin,Bobby Wanzer,Dolph Schayes,Giannis Antetokounmpo,Slater Martin,Larry Bird,Yao Ming,,5/5/2026 17:09,15.0,True,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,2.1966,0.5213,1.6671,0.5972,1085,103.6491,3.4004,,,
cf970649d27e459590776446861f0f29,od_false,,0.6784,1733,5.43,4.2,,4.68,4.8,5.49,4.85,1.83,-0.98,-3.74,-0.63,,Bobby Wanzer,Harry Gallatin,Jim Pollard,Yao Ming,Larry Bird,Bill Russell,Giannis Antetokounmpo,Bob Harrison,Slater Martin,Magic Johnson,,5/6/2026 15:57,15.0,False,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,,,,,1085,1.0417,,1.0,,
b4cac41a35a74addb3b841f9ff673826,tot_diff,2.8716,0.6788,1733,5.2708,4.6683,,4.7417,4.4952,5.3498,5.0784,2.0721,-0.6234,-3.4382,-0.6632,,Bobby Wanzer,Larry Bird,Bill Russell,Giannis Antetokounmpo,Yao Ming,Jim Pollard,Isaiah Hartenstein,Magic Johnson,Stephen Curry,Bob Harrison,,2026-05-06 16:16:04,15.0,False,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,,,,,1085,3.3818,,1.0,diff,
826d79e45b054cab933d7b8667722c7e,exponential_target,2.9058,0.6781,1733,5.7052,4.4207,,4.9192,5.0537,5.7711,5.1039,1.9207,-1.029,-3.9353,-0.6591,,Bobby Wanzer,Harry Gallatin,Jim Pollard,Yao Ming,Larry Bird,Bill Russell,Giannis Antetokounmpo,Bob Harrison,Slater Martin,Magic Johnson,,2026-05-06 16:22:07,15.0,False,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,,,,,1085,104.4242,,1.05,ratio,
7b4709e4afc9466b96db3d5785a4197e,400_gmlimit_tot,2.8115,0.6517,1444,5.1548,4.7658,,4.2939,4.2726,5.0467,5.3436,2.0983,-0.3376,-3.662,-1.2344,,Larry Bird,Bill Russell,Giannis Antetokounmpo,Bob Harrison,Yao Ming,Magic Johnson,Isaiah Joe,Isaiah Hartenstein,Jack George,Jayson Tatum,,2026-05-07 07:16:45,15.0,False,minutes,400,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,,,,,912,3.3932,,1.0,diff,0.3356
835df1adece24cad9478f00d7f0362d9,300_gmlimit_tot,2.8662,0.6784,1733,5.4293,4.2025,,4.6783,4.8016,5.4866,4.8475,1.8292,-0.9814,-3.7369,-0.6264,,Bobby Wanzer,Harry Gallatin,Jim Pollard,Yao Ming,Larry Bird,Bill Russell,Giannis Antetokounmpo,Bob Harrison,Slater Martin,Magic Johnson,,2026-05-07 07:20:42,15.0,False,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,,,,,1085,104.1657,,1.0,ratio,0.3507
2ebe40a8ee2649eab5e6590c547639f6,300_gmlimit_od,2.6523,0.6772,1733,4.8033,13.0133,,4.6161,4.1375,4.7121,4.014,1.6943,-1.2152,-3.8316,-1.2991,,Wilt Chamberlain,Bill Russell,Oscar Robertson,Harry Gallatin,Bobby Wanzer,Dolph Schayes,Giannis Antetokounmpo,Slater Martin,Larry Bird,Yao Ming,,2026-05-07 09:09:15,15.0,True,minutes,300,,,5000,,,,,False,1946-47,2025-26,0.53,gaussian,2.1963,0.5212,1.6662,0.5973,1085,103.6419,3.4005,1.0,diff,0.3316
